--------- beginning of main
06-01 10:09:51.799 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.836 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.870 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.906 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.940 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:51.976 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.012 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.051 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.086 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.121 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.159 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.197 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.233 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.270 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.309 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.344 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.378 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.414 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.451 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.486 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.521 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.557 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.592 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.631 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.666 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.703 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.738 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.773 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.811 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.846 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.881 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.916 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.951 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:52.997 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.033 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.069 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.106 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.141 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.177 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.211 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.246 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.281 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.319 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.354 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.391 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.427 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.462 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.497 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.533 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.570 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.607 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.641 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.676 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.721 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.755 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.794 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.829 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.864 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.905 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.940 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:53.975 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.011 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.049 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.083 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.120 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.155 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.191 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.226 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.262 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.300 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.335 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.371 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.410 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.445 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.480 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.516 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.551 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.587 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.625 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.660 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.695 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.731 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.768 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.804 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.844 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.879 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.919 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.954 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:54.989 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.024 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.059 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.095 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.130 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.165 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.205 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.242 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.277 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.314 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.350 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.385 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.422 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.457 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.492 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.532 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.567 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.601 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.642 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.677 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.712 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.752 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.788 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.826 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.865 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.900 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.935 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:55.970 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.008 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.043 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.078 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.113 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.148 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.185 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.223 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.257 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.292 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.330 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.366 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.402 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.437 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.473 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.509 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.545 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.581 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.617 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.655 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.692 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.728 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.763 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.800 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.835 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.870 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.905 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.941 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:56.975 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.010 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.046 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.085 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.121 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.159 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.195 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.233 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.269 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.304 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.343 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.378 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.415 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.452 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.487 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.525 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.564 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.599 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.635 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.670 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.705 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.744 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.779 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.824 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.859 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.896 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.935 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:57.970 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.005 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.042 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.077 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.113 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.152 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.189 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.226 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.261 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.296 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.334 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.371 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.406 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.444 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.479 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.514 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.549 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.584 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.620 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.655 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.692 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.729 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.763 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.798 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.837 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.875 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.911 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.948 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:58.983 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.018 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.056 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.091 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.126 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.166 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.202 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.244 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.280 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.314 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.349 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.384 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.418 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.454 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.490 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.525 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.560 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.595 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.633 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.671 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.707 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.747 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.782 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.817 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.855 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.890 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.925 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.962 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:09:59.996 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.032 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.066 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.103 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.139 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.174 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.211 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.246 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.286 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.321 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.356 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.391 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.426 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.461 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.495 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.531 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.566 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.601 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.638 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.674 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.709 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.745 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.780 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.818 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.856 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.892 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.926 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.961 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:00.996 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.031 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.070 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.105 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.146 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.182 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.220 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.258 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.294 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.329 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.364 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.398 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.434 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.471 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.508 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.547 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.582 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.617 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.661 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.696 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.731 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.767 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.803 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.841 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.876 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.916 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.953 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:01.987 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.025 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.064 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.099 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.134 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.169 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.203 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.238 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.274 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.309 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.345 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.380 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.418 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.453 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.488 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.523 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.559 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.595 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.630 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.668 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.703 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.738 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.781 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.816 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.854 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.890 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.925 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:02.965 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.001 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.036 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.073 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.107 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.142 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.180 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.215 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.250 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.285 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.322 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.361 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.395 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.430 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.469 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.505 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.542 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.577 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.612 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.647 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.683 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.718 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.753 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.788 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.823 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.861 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.898 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.934 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:03.975 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.010 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.045 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.081 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.121 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.158 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.193 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.229 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.266 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.301 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.337 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.379 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.413 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.451 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.492 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.527 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.563 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.599 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.635 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.670 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.707 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.747 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.783 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.818 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.852 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.891 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.927 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.962 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:04.997 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:05.031 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:05.070 V/GeospatialService( 5183): Camera 상태: PAUSED
06-01 10:10:05.105 V/GeospatialService( 5183): Camera 상태: PAUSED
